TXN_DATE_TIME,TRANSACTION_ID,CUSTOMER_ID,POLICY_NUMBER,POLICY_EFF_DT,LOSS_DT,REPORT_DT,INSURANCE_TYPE,PREMIUM_AMOUNT,CLAIM_AMOUNT,CLAIM_STATUS,INCIDENT_SEVERITY,RISK_SEGMENTATION,CUSTOMER_STATE,INCIDENT_STATE,INCIDENT_CITY,AGE,EMPLOYMENT_STATUS,AGENT_ID,AGENT_NAME,AGENT_CITY,AGENT_STATE,VENDOR_ID,VENDOR_NAME,VENDOR_CITY,VENDOR_STATE
2020-06-01 00:00:00,TXN00000001,A00003822,PLC00008468,2015-06-23,2020-05-16,2020-05-21,Health,157.13,9000,A,Major Loss,L,AZ,GA,Savannah,54,Y,AGENT00413,Amy Wangler,Nashville,TN,VNDR00556,Ramsey Inc,Panama City,FL
2020-06-01 00:00:00,TXN00000002,A00008149,PLC00009594,2018-04-21,2020-05-13,2020-05-18,Property,141.71,26000,A,Total Loss,L,CO,AL,Montgomery,61,Y,AGENT00769,Jessica Montez,Glendale,AZ,VNDR00592,"Morales, Campbell and Washington",Fayetteville,AR
2020-06-01 00:00:00,TXN00000003,A00003172,PLC00007969,2019-10-03,2020-05-21,2020-05-26,Property,157.24,13000,A,Total Loss,L,CA,CO,Grand Junction,47,Y,AGENT00883,Howard Smith,Montgomery,AL,VNDR00031,Johnson Ltd,Fayetteville,AR
2020-06-01 00:00:00,TXN00000004,A00007572,PLC00009292,2016-11-29,2020-05-14,2020-05-19,Health,172.87,16000,A,Minor Loss,L,GA,GA,Savannah,36,Y,AGENT00278,Patricia Tucker,Norman,OK,VNDR00075,Blackwell-Foster,Nashville,TN
2020-06-01 00:00:00,TXN00000005,A00008173,PLC00000204,2011-12-26,2020-05-17,2020-05-22,Travel,88.53,3000,A,Major Loss,M,CA,TN,Nashville,51,Y,AGENT00636,Brenda Bean,Glen Burnie,MD,VNDR00472,Evans-Scott,Washington,DC
2020-06-01 00:00:00,TXN00000006,A00003571,PLC00007244,2012-12-28,2020-05-20,2020-05-25,Life,87.02,63000,A,Major Loss,M,AZ,AZ,Glendale,42,Y,AGENT00402,Luciano Jackson,Bakersfield,CA,,,,
2020-06-01 00:00:00,TXN00000007,A00007245,PLC00002796,2012-10-26,2020-05-13,2020-05-18,Health,197.23,3000,A,Major Loss,L,FL,CT,Manchester,61,Y,AGENT00322,Edgar Talley,East Longmeadow,MA,VNDR00150,Moreno LLC,Nashville,TN
2020-06-01 00:00:00,TXN00000008,A00004301,PLC00002925,2018-12-30,2020-05-14,2020-05-19,Motor,83.77,8000,A,Total Loss,L,GA,FL,Panama City Beach,35,Y,AGENT00152,John Hensel,Louisville,KY,VNDR00326,Stewart Ltd,Washington,DC
2020-06-01 00:00:00,TXN00000009,A00004671,PLC00006886,2019-06-27,2020-05-21,2020-05-26,Motor,82.14,5000,A,Major Loss,H,KY,AZ,Glendale,27,Y,AGENT00450,Peter Thomas,Washington,DC,VNDR00437,Hanson Inc,Fayetteville,AR
2020-06-01 00:00:00,TXN00000010,A00002020,PLC00007657,2015-12-19,2020-05-15,2020-05-20,Travel,71.29,4000,A,Major Loss,L,AL,CA,San Leandro,61,Y,AGENT00682,Michael Ortiz,Anchorage,AK,,,,
